买入日期,买入价,卖出日期,卖出价,持有天数,收益率%,状态,代码
2024-03-22,25.84,2024-03-27,22.86,3,-11.632507739938081,平仓,688001
2024-03-28,23.52,2024-03-28,23.52,3,-0.1,平仓,688001
2024-06-03,22.26,2024-06-06,20.97,3,-5.895148247978447,平仓,688001
2024-06-25,21.74,2024-06-28,22.58,3,3.763845446182152,平仓,688001
2024-08-19,21.85,2024-08-22,20.87,3,-4.585125858123571,平仓,688001
2024-09-06,22.86,2024-09-11,22.75,3,-0.581189851268589,平仓,688001
2024-10-10,31.3,2024-10-15,28.88,3,-7.831629392971251,平仓,688001
2024-11-04,30.49,2024-11-07,31.6,3,3.540537881272558,平仓,688001
2024-11-14,31.78,2024-11-19,31.34,3,-1.4845185651353092,平仓,688001
2024-11-22,31.48,2024-11-27,32.65,3,3.616645489199486,平仓,688001
2024-12-11,35.31,2024-12-16,32.99,3,-6.670376663834608,平仓,688001
2024-02-29,38.48,2024-03-05,39.11,3,1.537214137214144,平仓,688002
2024-03-21,40.53,2024-03-26,39.67,3,-2.2218850234394263,平仓,688002
2024-10-14,45.27,2024-10-17,44.53,3,-1.7346366246962712,平仓,688002
2024-11-12,52.69,2024-11-15,46.84,3,-11.202676029607124,平仓,688002
2024-12-30,49.16,2025-01-03,45.39,3,-7.768836452400318,平仓,688002
2025-01-27,49.66,2025-02-07,52.79,3,6.2028594442207075,平仓,688002
2024-04-09,35.4,2024-04-12,34.92,3,-1.4559322033898219,平仓,688003
2024-10-10,36.17,2024-10-15,34.63,3,-4.35767210395355,平仓,688003
2024-10-24,38.86,2024-10-29,36.86,3,-5.246680391147709,平仓,688003
2024-11-15,49.3,2024-11-20,51.86,3,5.092697768762682,平仓,688003
2024-12-18,45.25,2024-12-23,47.44,3,4.7397790055248565,平仓,688003
2024-12-24,47.14,2024-12-27,44.43,3,-5.848833262621978,平仓,688003
2024-08-20,10.37,2024-08-23,9.88,3,-4.8251687560269865,平仓,688004
2024-09-04,10.41,2024-09-09,10.16,3,-2.5015369836695487,平仓,688004
2024-10-14,14.35,2024-10-17,14.2,3,-1.1452961672473894,平仓,688004
2024-10-24,16.34,2024-10-29,17.06,3,4.306364749082001,平仓,688004
2024-11-01,17.26,2024-11-06,18.4,3,6.504866743916553,平仓,688004
2024-12-16,18.77,2024-12-19,17.3,3,-7.931646244006387,平仓,688004
2025-02-13,17.66,2025-02-13,17.66,0,-0.1,未平仓,688004
2024-03-19,20.2,2024-03-22,18.42,3,-8.9118811881188,平仓,688005
2024-03-26,18.67,2024-03-26,18.67,3,-0.1,平仓,688005
2024-04-15,21.69,2024-04-18,21.54,3,-0.7915629322268424,平仓,688005
2024-10-10,19.19,2024-10-15,17.37,3,-9.58410630536738,平仓,688005
2024-11-14,26.19,2024-11-19,25.75,3,-1.7800305460099322,平仓,688005
2024-04-08,21.2,2024-04-11,22.17,3,4.475471698113219,平仓,688006
2024-04-12,21.38,2024-04-17,21.29,3,-0.5209541627689422,平仓,688006
2024-10-10,19.32,2024-10-15,17.49,3,-9.572049689441004,平仓,688006
2024-11-14,21.7,2024-11-19,22.32,3,2.757142857142862,平仓,688006
2024-12-13,20.02,2024-12-18,19.28,3,-3.7963036963036885,平仓,688006
2024-10-10,16.53,2024-10-15,15.39,3,-6.996551724137934,平仓,688007
2024-10-16,15.27,2024-10-18,16.26,3,6.383300589390977,平仓,688007
2024-11-14,17.31,2024-11-19,17.14,3,-1.082091276718649,平仓,688007
2024-12-13,16.79,2024-12-18,15.98,3,-4.924300178677776,平仓,688007
2024-03-21,48.79,2024-03-26,46.16,3,-5.4904488624718235,平仓,688008
2024-06-05,51.19,2024-06-11,50.52,3,-1.4088493846454282,平仓,688008
2024-06-25,54.37,2024-06-28,56.57,3,3.9463490895714606,平仓,688008
2024-07-17,62.62,2024-07-22,63.34,3,1.0497923985947077,平仓,688008
2024-07-24,58.39,2024-07-24,58.39,3,-0.1,平仓,688008
2024-07-25,57.61,2024-07-29,57.41,3,-0.44716195105016987,平仓,688008
2024-10-17,60.75,2024-10-22,70.35,3,15.702469135802462,平仓,688008
2024-12-13,67.43,2024-12-18,68.21,3,1.056755153492491,平仓,688008
2024-12-30,70.6,2025-01-03,64.93,3,-8.1311614730878,平仓,688008
2025-01-27,67.45,2025-02-07,71.76,3,6.289918458117128,平仓,688008
2024-03-12,4.96,2024-03-15,4.95,3,-0.30161290322580214,平仓,688009
2024-04-22,5.51,2024-04-25,5.34,3,-3.185299455535389,平仓,688009
2024-04-26,5.22,2024-04-26,5.22,3,-0.1,平仓,688009
2024-04-29,5.11,2024-04-29,5.11,3,-0.1,平仓,688009
2024-04-30,5.06,2024-05-06,5.41,3,6.816996047430842,平仓,688009
2024-06-11,5.54,2024-06-14,5.4,3,-2.6270758122743625,平仓,688009
2024-06-17,5.25,2024-06-19,5.35,3,1.804761904761898,平仓,688009
2024-07-12,5.85,2024-07-17,5.77,3,-1.4675213675213687,平仓,688009
2024-07-31,5.68,2024-08-05,5.73,3,0.7802816901408576,平仓,688009
2024-10-11,6.26,2024-10-16,6.17,3,-1.53769968051118,平仓,688009
2024-10-22,6.11,2024-10-25,6.06,3,-0.9183306055646596,平仓,688009
2024-11-12,6.58,2024-11-15,6.45,3,-2.0756838905775057,平仓,688009
2024-12-16,6.21,2024-12-19,6.27,3,0.8661835748792208,平仓,688009
2024-03-26,18.41,2024-03-29,18.43,3,0.008636610537748904,平仓,688010
2024-04-03,18.61,2024-04-10,17.51,3,-6.010800644814604,平仓,688010
2024-05-30,17.08,2024-06-04,16.17,3,-5.427868852458996,平仓,688010
2024-08-19,14.35,2024-08-22,13.66,3,-4.908362369337975,平仓,688010
2024-10-10,17.17,2024-10-15,16.7,3,-2.837332556785104,平仓,688010
2024-10-16,16.58,2024-10-17,16.73,3,0.804704463208698,平仓,688010
2024-11-06,28.62,2024-11-11,39.97,3,39.55758211041229,平仓,688010
2024-04-03,17.33,2024-04-10,15.98,3,-7.889959607616838,平仓,688011
2024-05-27,16.17,2024-05-30,16.16,3,-0.1618429189857858,平仓,688011
2024-06-05,15.3,2024-06-11,14.95,3,-2.3875816993464145,平仓,688011
2024-10-14,15.93,2024-10-17,15.64,3,-1.920464532328934,平仓,688011
2024-10-30,17.42,2024-11-04,17.6,3,0.9332950631458078,平仓,688011
2024-11-12,19.87,2024-11-15,18.6,3,-6.491545042778054,平仓,688011
2024-06-17,141.99,2024-06-20,147.78,3,3.977751954362977,平仓,688012
2024-06-25,141.0,2024-06-28,140.96,3,-0.1283687943262355,平仓,688012
2024-08-05,153.09,2024-08-08,154.86,3,1.056182637664126,平仓,688012
2024-08-16,146.62,2024-08-21,141.81,3,-3.3805892784067675,平仓,688012
2024-10-15,168.8,2024-10-18,185.35,3,9.704502369668237,平仓,688012
2024-11-19,214.85,2024-11-22,209.16,3,-2.748359320456131,平仓,688012
2024-12-12,205.6,2024-12-17,190.6,3,-7.395719844357977,平仓,688012
2024-04-09,15.59,2024-04-12,14.77,3,-5.35978191148172,平仓,688013
2024-06-03,13.94,2024-06-06,12.23,3,-12.366857962697267,平仓,688013
2024-09-04,13.01,2024-09-09,13.01,3,-0.1,平仓,688013
2024-10-14,15.9,2024-10-17,15.61,3,-1.9238993710691883,平仓,688013
2024-10-29,17.03,2024-11-01,17.21,3,0.9569583088667041,平仓,688013
2024-11-13,18.34,2024-11-18,17.29,3,-5.82519083969466,平仓,688013
2024-03-13,15.31,2024-03-18,15.82,3,3.2311561071195283,平仓,688015
2024-03-25,15.64,2024-03-28,16.48,3,5.27084398976982,平仓,688015
2024-04-08,16.04,2024-04-11,15.71,3,-2.1573566084787927,平仓,688015
2024-04-23,18.2,2024-04-26,17.97,3,-1.3637362637362662,平仓,688015
2024-04-30,17.79,2024-04-30,17.79,3,-0.1,平仓,688015
2024-05-23,22.36,2024-05-28,19.76,3,-11.727906976744176,平仓,688015
2024-08-05,18.04,2024-08-08,17.48,3,-3.204212860310414,平仓,688015
2024-10-14,18.32,2024-10-17,17.22,3,-6.104366812227082,平仓,688015
2024-10-29,18.94,2024-11-01,18.59,3,-1.947940865892299,平仓,688015
2024-11-13,21.78,2024-11-18,19.86,3,-8.915426997245186,平仓,688015
2024-05-10,121.43,2024-05-15,117.12,3,-3.6493700074116795,平仓,688016
2024-05-16,118.23,2024-05-16,118.23,3,-0.1,平仓,688016
2024-10-10,108.55,2024-10-15,97.41,3,-10.362551819438048,平仓,688016
2024-11-14,103.58,2024-11-19,102.97,3,-0.6889167793010228,平仓,688016
2024-12-16,112.3,2024-12-19,111.77,3,-0.5719501335707936,平仓,688016
2025-01-20,109.54,2025-01-23,102.88,3,-6.179970786927159,平仓,688016
2024-03-19,133.34,2024-03-22,130.9,3,-1.9299085045747695,平仓,688017
2024-10-10,93.9,2024-10-15,81.4,3,-13.412034078807242,平仓,688017
2024-10-16,80.98,2024-10-21,87.08,3,7.432724129414663,平仓,688017
2024-10-24,88.67,2024-10-29,86.7,3,-2.321720987932783,平仓,688017
2024-11-12,125.4,2024-11-15,110.9,3,-11.662998405103668,平仓,688017
2024-12-06,124.3,2024-12-11,124.88,3,0.36661303298471304,平仓,688017
2024-12-12,122.75,2024-12-12,122.75,3,-0.1,平仓,688017
2025-01-20,138.78,2025-01-23,149.74,3,7.79739155497911,平仓,688017
2025-01-27,144.9,2025-02-07,170.3,3,17.429330572808837,平仓,688017
2024-03-26,47.7,2024-03-29,46.64,3,-2.322222222222227,平仓,688018
2024-05-07,54.16,2024-05-10,54.25,3,0.06617429837519095,平仓,688018
2024-06-24,58.03,2024-06-27,70.49,3,21.371652593486118,平仓,688018
2024-07-03,68.86,2024-07-08,68.08,3,-1.2327330816148725,平仓,688018
2024-10-15,92.23,2024-10-18,102.71,3,11.262897105063418,平仓,688018
2024-10-23,94.27,2024-10-28,92.74,3,-1.7229977723560002,平仓,688018
2024-12-03,101.05,2024-12-06,102.27,3,1.1073231073725867,平仓,688018
2024-12-16,140.59,2024-12-19,160.44,3,14.019069635109178,平仓,688018
2025-02-06,189.32,2025-02-11,185.01,3,-2.3765687724487656,平仓,688018
2024-03-18,84.09,2024-03-21,82.57,3,-1.9075871090498397,平仓,688019
2024-03-25,81.28,2024-03-25,81.28,3,-0.1,平仓,688019
2024-03-26,80.09,2024-03-26,80.09,3,-0.1,平仓,688019
2024-05-08,95.95,2024-05-13,95.24,3,-0.8399687337154851,平仓,688019
2024-05-29,92.88,2024-06-03,96.51,3,3.8082687338501398,平仓,688019
2024-06-07,96.12,2024-06-13,101.91,3,5.9237203495630375,平仓,688019
2024-06-19,100.36,2024-06-24,98.21,3,-2.242287764049428,平仓,688019
2024-10-10,107.29,2024-10-15,100.14,3,-6.764181191164139,平仓,688019
2024-10-16,99.76,2024-10-21,109.68,3,9.843865276663996,平仓,688019
2024-11-13,122.53,2024-11-18,116.45,3,-5.062050110177098,平仓,688019
2025-01-23,113.78,2025-02-05,110.83,3,-2.692722798382847,平仓,688019
